Carrer_Goal,Celebrity,Gender,Education,Location,Age,Hobby,Language,Skills,Lifestyle,College,user_id
Teacher,Vicky Kaushal,Female,BTech Civil,Tiruchirappalli,20,Hangout,Assamese,Marketing Strategy,Minimalist,NIT Jamshedpur,70
IPS,Anil Kapoor,Male,BTech Metallurgical and Materials,Nagpur,21,PC Gaming,Maithili,Product Management,Minimalist,NIT Warangal,71
IAS,Rajkummar Rao,Female,MTech Computer Science ,Dhanbad,22,Photography,Punjabi,Project Management,Urban,NIT Kurukshetra,72
Data Engineer,Salman Khan,Female,BTech Mining,Mira and Bhayander,19,Yoga,Gujarati,Cyber Security,Urban,IIT Delhi,73
App Development,Alia Bhatt,Male,BTech Electrical and Electronics,Visakhapatnam,21,PC Gaming,Odia,Animation,Minimalist,NIT Warangal,74
Scientist,Janhvi Kapoor,Male,MTech Chemical,Raipur,23,Kabaddi,Hindi,Data Science,Minimalist,NIT Bhopal,75
IAS,Varun Dhawan,Female,BTech Mining,Chandigarh,18,Running,Assamese,Cloud Computing,Minimalist,IIT BHU,76
Entrepreneur,Aamir Khan,Male,BTech Information Technology,Mangaluru,19,Singing,Marathi,Blockchain,Minimalist,IIT Roorkee,77
IPS,Priyanka Chopra,Male,MTech Electrical and Electronics,Vadodara,22,Reading,Marathi,Social Media Management,Urban,IIT Bombay,78
Teacher,Amitabh Bachchan,Female,MTech Civil,Jaipur,22,Football,Malayalam,Cloud Computing,Urban,IIT Kharagpur,79
Software Developer,Anushka Sharma,Male,MTech Computational and Data Sciences,Solapur,23,Manga,Bengali,Project Management,Urban,NIT Bhopal,80
Data Scientist,Rohit Sharma,Male,BTech Electronics and Communication,Rajkot,20,Mobile Gaming,Hindi,Data Science,Minimalist,IIT Hyderabad,81
Teacher,Kareena Kapoor,Female,BTech Information Technology,Hyderabad,20,Running,Maithili,Cloud Computing,Minimalist,IIT Bombay,82
Data Scientist,Tiger Shroff,Male,BTech Computational and Data Sciences,Kolkata,21,Hangout,Hindi,Content Writing,Urban,IIT Hyderabad,83
Web Developer,Vicky Kaushal,Male,MTech Metallurgical and Materials,Kolkata,23,Reading,Kannada,Product Management,Urban,NIT Rourkela,84
Teacher,Priyanka Chopra,Male,BTech Metallurgical and Materials,Bhopal,18,Hockey,Hindi,Product Management,Urban,IIT Indore,85
Data Scientist,Hrithik Roshan,Female,BTech Metallurgical and Materials,Salem,20,Mobile Gaming,Hindi,Mobile App Development,Urban,IIT Madras,86
IPS,Shah Rukh Khan,Male,MTech Metallurgical and Materials,Guwahati,22,Running,Maithili,DevOps,Minimalist,NIT Durgapur,87
Scientist,Shah Rukh Khan,Male,MTech Computer Science ,Delhi,22,WebSeries,Malayalam,DevOps,Minimalist,NIT Jamshedpur,88
Software Developer,Ranbir Kapoor,Male,BTech Information Technology,Bareilly,19,Hockey,Bengali,Data Analysis,Minimalist,IIT Roorkee,89
Data Analyst,Aishwarya Rai Bachchan,Male,MTech Information Technology,Mira and Bhayander,23,Learning new skills,Bengali,DevOps,Urban,NIT Kurukshetra,90
Teacher,Ayushmann Khurrana,Female,BTech Mechanical,Kolkata,19,Anime,Odia,Trading,Urban,NIT Warangal,91
Entrepreneur,Virat Kohli,Male,BTech Metallurgical and Materials,Ahmedabad,21,Volleyball,Bengali,Photography,Minimalist,NIT Warangal,92
App Development,Priyanka Chopra,Male,MTech Computational and Data Sciences,Salem,24,Cricket,Hindi,Data Science,Minimalist,IIT Roorkee,93
Teacher,Virat Kohli,Female,MTech Civil,Nashik,22,Hangout,Maithili,Project Management,Urban,NIT Allahabad,94
Data Analyst,Akshay Kumar,Male,MTech Information Technology,Coimbatore,22,Cricket,Maithili,Data Analysis,Minimalist,NIT Rourkela,95
Professor,Rohit Sharma,Male,MTech Civil,Jodhpur,22,Football,Punjabi,Content Writing,Urban,NIT Kurukshetra,96
Data Scientist,Salman Khan,Female,BTech Information Technology,Mysore,21,Drama,Gujarati,Blockchain,Urban,IIT Indore,97
Data Engineer,Vicky Kaushal,Female,MTech Mining,Srinagar,23,Cricket,Malayalam,Management,Urban,NIT Kurukshetra,98
Software Developer,Vicky Kaushal,Male,BTech Information Technology,Nashik,19,Dancing,Assamese,Data Science,Urban,IIT Bombay,99
Entrepreneur,Ayushmann Khurrana,Female,BTech Chemical,Nashik,20,Reading,Gujarati,Management,Urban,IIT Jodhpur,100
Software Developer,Kriti Sanon,Female,BTech Computer Science ,Navi Mumbai,20,Hockey,Odia,Management,Urban,IIT Hyderabad,101
App Development,Tiger Shroff,Male,BTech Metallurgical and Materials,Allahabad,19,Cricket,Telugu,Social Media Management,Minimalist,IIT Bombay,102
Professor,Aamir Khan,Female,BTech Information Technology,Varanasi,18,Meditation,Punjabi,Blockchain,Urban,NIT Durgapur,103
Software Developer,Salman Khan,Female,MTech Computer Science ,Gurgaon,23,Tennis,Gujarati,Data Analysis,Urban,NIT Rourkela,104
Entrepreneur,Salman Khan,Male,MTech Civil,Gwalior,22,WebSeries,Kannada,UI/UX Research,Minimalist,NIT Durgapur,105
Teacher,Aishwarya Rai Bachchan,Male,BTech Electrical and Electronics,Kota,21,Anime,Hindi,Game Development,Urban,NIT Warangal,106
Professor,Kriti Sanon,Male,BTech Mining,Chennai,19,Chess,Bengali,Photography,Urban,IIT Kanpur,107
IAS,Vicky Kaushal,Male,MTech Mining,Pune,22,Anime,Assamese,Graphic Design,Minimalist,IIT Jodhpur,108
Data Scientist,Amitabh Bachchan,Male,MTech Mechanical,Solapur,24,Mobile Gaming,Malayalam,Product Management,Urban,NIT Kurukshetra,109
IAS,Amitabh Bachchan,Male,MTech Mining,Solapur,22,Hiking,Marathi,Management,Urban,IIT Gandhinagar,110
Data Scientist,Katrina Kaif,Male,BTech Mechanical,Jaipur,20,Painting,Malayalam,Photography,Urban,IIT Roorkee,111
Teacher,Vicky Kaushal,Male,BTech Electronics and Communication,Surathkal,18,Volleyball,Odia,Data Analysis,Urban,NIT Rourkela,112
App Development,Shraddha Kapoor,Male,MTech Mining,Nagpur,24,Anime,Maithili,Video Editing,Minimalist,NIT Hamirpur,113
Web Developer,Kriti Sanon,Female,MTech Information Technology,Vadodara,24,Dancing,Hindi,Digital Marketing,Minimalist,IIT Guwahati,114
Teacher,Sachin Tendulkar,Male,MTech Chemical,Jaipur,24,Tennis,Marathi,Content Writing,Minimalist,IIT BHU,115
App Development,Priyanka Chopra,Female,BTech Civil,Salem,18,Singing,Hindi,Social Media Management,Minimalist,IIT Delhi,116
IPS,Akshay Kumar,Female,BTech Mechanical,Mumbai,18,Meditation,Bengali,Web Development,Minimalist,NIT Rourkela,117
Software Developer,Shraddha Kapoor,Male,BTech Chemical,Chandigarh,20,Hangout,Bengali,Mobile App Development,Urban,IIT Bombay,118
Teacher,Shah Rukh Khan,Female,MTech Metallurgical and Materials,Rajkot,23,Swimming,Punjabi,Content Writing,Minimalist,NIT Warangal,119
Data Analyst,Sachin Tendulkar,Male,BTech Metallurgical and Materials,Ludhiana,18,Drama,Maithili,Data Analysis,Urban,IIT Hyderabad,120
App Development,Kareena Kapoor,Female,MTech Chemical,Coimbatore,22,Hockey,Gujarati,Project Management,Minimalist,NIT Allahabad,121
Software Developer,Anil Kapoor,Male,BTech Civil,Vadodara,19,Volleyball,Hindi,Digital Marketing,Minimalist,NIT Bhopal,122
Software Developer,Kareena Kapoor,Female,MTech Mechanical,Rajkot,23,Learning new skills,Telugu,Project Management,Urban,NIT Surathkal,123
App Development,Shah Rukh Khan,Male,MTech Civil,Jaipur,23,PC Gaming,Hindi,Digital Marketing,Urban,NIT Surathkal,124
Data Engineer,Deepika Padukone,Male,MTech Metallurgical and Materials,Ranchi,22,Manga,Assamese,UI/UX Design,Urban,IIT Roorkee,125
Teacher,Katrina Kaif,Female,BTech Metallurgical and Materials,Delhi,18,Reading,Marathi,Mobile App Development,Urban,NIT Bhopal,126
Data Analyst,Anushka Sharma,Male,BTech Chemical,Jabalpur,20,Anime,Telugu,Sales and Marketing,Minimalist,IIT Roorkee,127
Data Analyst,Rohit Sharma,Male,MTech Information Technology,Bhopal,24,Cricket,Tamil,Digital Marketing,Minimalist,NIT Jamshedpur,128
App Development,Ranveer Singh,Male,MTech Metallurgical and Materials,Jodhpur,22,Hiking,Telugu,Data Analysis,Urban,NIT Hamirpur,129
Data Scientist,Ranbir Kapoor,Female,BTech Mechanical,Surathkal,21,Chess,Punjabi,UI/UX Design,Urban,NIT Warangal,130
Data Engineer,Aamir Khan,Male,BTech Civil,Tiruchirappalli,18,Swimming,Hindi,Data Visualization,Urban,IIT Madras,131
Entrepreneur,Janhvi Kapoor,Female,MTech Metallurgical and Materials,Ranchi,24,WebSeries,Assamese,Sales and Marketing,Urban,IIT Kanpur,132
Teacher,Sara Ali Khan,Male,BTech Metallurgical and Materials,Bengaluru,20,Football,Malayalam,Machine Learning,Urban,NIT Kurukshetra,133
Scientist,Akshay Kumar,Male,MTech Information Technology,Mangaluru,22,Swimming,Bengali,Game Development,Urban,IIT Delhi,134
Entrepreneur,M. S. Dhoni,Female,BTech Metallurgical and Materials,Jalandhar,20,Attending Cultural Events,Maithili,Machine Learning,Minimalist,NIT Durgapur,135
IAS,Anil Kapoor,Female,BTech Information Technology,Navi Mumbai,21,Writing,Telugu,UI/UX Research,Urban,NIT Trichy,136
App Development,Aamir Khan,Male,MTech Computer Science ,Hyderabad,22,Drama,Bengali,Mobile App Development,Urban,IIT Indore,137
IAS,Shraddha Kapoor,Male,BTech Computational and Data Sciences,Patna,20,Football,Assamese,Product Management,Minimalist,NIT Durgapur,138
Entrepreneur,Aishwarya Rai Bachchan,Female,MTech Electronics and Communication,Nagpur,22,Mobile Gaming,Maithili,Project Management,Urban,NIT Jamshedpur,139
Entrepreneur,Alia Bhatt,Female,BTech Mining,Srinagar,19,Chess,Tamil,Data Analysis,Minimalist,NIT Jaipur,140
Web Developer,Virat Kohli,Male,BTech Metallurgical and Materials,Bhopal,20,Learning new skills,Odia,Mobile App Development,Minimalist,IIT Guwahati,141
Software Developer,Aishwarya Rai Bachchan,Female,BTech Computational and Data Sciences,Indore,21,Hockey,Malayalam,Marketing Strategy,Urban,NIT Hamirpur,142
Software Developer,Shraddha Kapoor,Male,MTech Electrical and Electronics,Navi Mumbai,22,Badminton,Kannada,Social Media Management,Urban,IIT Madras,143
Data Engineer,Rohit Sharma,Female,MTech Metallurgical and Materials,Nashik,24,Learning new skills,Kannada,Data Science,Urban,IIT Gandhinagar,144
Data Scientist,Kriti Sanon,Male,MTech Electronics and Communication,Jalandhar,23,Meditation,Marathi,Video Editing,Urban,NIT Bhopal,145
IPS,Priyanka Chopra,Male,MTech Mining,Hubli and Dharwad,24,Hockey,Assamese,Data Visualization,Urban,NIT Surathkal,146
Data Analyst,Anil Kapoor,Male,MTech Chemical,Madurai,24,PC Gaming,Maithili,Trading,Minimalist,IIT Roorkee,147
IPS,Sara Ali Khan,Female,MTech Computer Science ,Varanasi,24,Kabaddi,Telugu,DevOps,Urban,NIT Bhopal,148
IPS,Aamir Khan,Male,MTech Electronics and Communication,Coimbatore,23,Manga,Bengali,Machine Learning,Urban,IIT BHU,149
Professor,Katrina Kaif,Male,BTech Electrical and Electronics,Bhopal,18,Basketball,Odia,UI/UX Research,Urban,IIT Jodhpur,150
Web Developer,Kareena Kapoor,Male,BTech Metallurgical and Materials,Indore,20,Running,Marathi,Web Development,Minimalist,NIT Trichy,151
Teacher,Amitabh Bachchan,Female,MTech Civil,Mysore,23,Tennis,Telugu,Copywriting,Urban,NIT Durgapur,152
Entrepreneur,Ranveer Singh,Male,MTech Chemical,Bhubaneswar,24,Football,Maithili,Management,Urban,IIT Delhi,153
Software Developer,Virat Kohli,Male,BTech Mining,Indore,18,Chess,Hindi,Management,Urban,IIT Indore,154
Web Developer,Priyanka Chopra,Female,BTech Civil,Pune,20,Singing,Punjabi,Data Visualization,Minimalist,IIT BHU,155
Software Developer,Alia Bhatt,Female,MTech Electrical and Electronics,Solapur,22,Attending Cultural Events,Gujarati,Blockchain,Urban,NIT Kurukshetra,156
Entrepreneur,Aishwarya Rai Bachchan,Male,MTech Computer Science ,Aurangabad,22,Manga,Assamese,Machine Learning,Minimalist,IIT Indore,157
IAS,Shah Rukh Khan,Female,MTech Chemical,Salem,24,Chess,Gujarati,Management,Minimalist,IIT Guwahati,158
Professor,Rohit Sharma,Male,MTech Mining,Coimbatore,23,Meditation,Assamese,Copywriting,Urban,NIT Surathkal,159
Data Scientist,Tiger Shroff,Female,MTech Electrical and Electronics,Hubli and Dharwad,24,Drama,Telugu,Digital Marketing,Minimalist,NIT Jamshedpur,160
Teacher,Kriti Sanon,Male,MTech Chemical,Kota,24,Hockey,Odia,Data Analysis,Urban,IIT Madras,161
Data Engineer,Kareena Kapoor,Male,BTech Chemical,Vadodara,19,Singing,Assamese,Game Development,Minimalist,IIT Hyderabad,162
Data Engineer,Rajkummar Rao,Male,MTech Information Technology,Patna,23,Chess,Hindi,Copywriting,Minimalist,NIT Rourkela,163
Scientist,Kareena Kapoor,Male,BTech Electrical and Electronics,Haora,18,Manga,Bengali,Data Science,Urban,NIT Rourkela,164
IPS,Sara Ali Khan,Female,MTech Civil,Solapur,22,Tennis,Tamil,Trading,Urban,IIT Roorkee,165
Entrepreneur,Anil Kapoor,Male,BTech Information Technology,Amritsar,21,Reading,Bengali,Animation,Minimalist,IIT Madras,166
IPS,Rajkummar Rao,Female,MTech Mechanical,Surathkal,23,Football,Assamese,Mobile App Development,Urban,IIT Kanpur,167
IAS,Katrina Kaif,Female,BTech Information Technology,Ranchi,21,Hiking,Maithili,Cyber Security,Urban,IIT Jodhpur,168
Data Analyst,Sara Ali Khan,Male,BTech Metallurgical and Materials,Aurangabad,21,PC Gaming,Tamil,Public Speaking,Urban,NIT Surathkal,169
App Development,Kareena Kapoor,Male,MTech Electronics and Communication,Delhi,23,Swimming,Odia,Social Media Management,Urban,IIT Bombay,170
Professor,Ranbir Kapoor,Male,BTech Mechanical,Coimbatore,21,Cricket,Hindi,Social Media Management,Minimalist,IIT Madras,171
Teacher,Ranbir Kapoor,Female,BTech Information Technology,Srinagar,19,Anime,Tamil,Digital Marketing,Urban,IIT Jodhpur,172
Teacher,Shah Rukh Khan,Male,MTech Civil,Haora,23,Kabaddi,Assamese,Graphic Design,Urban,NIT Allahabad,173
Teacher,Hrithik Roshan,Female,BTech Metallurgical and Materials,Ranchi,20,Yoga,Odia,UI/UX Design,Urban,IIT BHU,174
Software Developer,Janhvi Kapoor,Male,BTech Electrical and Electronics,Aurangabad,20,Yoga,Maithili,UI/UX Research,Minimalist,IIT Indore,175
Teacher,Anushka Sharma,Female,BTech Metallurgical and Materials,Surathkal,20,Photography,Odia,Animation,Urban,IIT Kharagpur,176
Entrepreneur,Ayushmann Khurrana,Male,MTech Information Technology,Amritsar,22,Chess,Malayalam,Machine Learning,Minimalist,NIT Durgapur,177
Web Developer,Rajkummar Rao,Male,BTech Mechanical,Vadodara,18,Hangout,Malayalam,Data Science,Urban,NIT Kurukshetra,178
IPS,Virat Kohli,Male,BTech Electronics and Communication,Jodhpur,21,Kabaddi,Odia,UI/UX Research,Minimalist,NIT Trichy,179
Teacher,Ranveer Singh,Female,BTech Electronics and Communication,Agra,21,Hangout,Malayalam,Product Management,Urban,IIT Delhi,180
Scientist,Rohit Sharma,Female,BTech Metallurgical and Materials,Nagpur,19,Football,Gujarati,Graphic Design,Urban,IIT Madras,181
IAS,Anil Kapoor,Male,MTech Metallurgical and Materials,Surat,24,Meditation,Maithili,Cloud Computing,Urban,IIT Roorkee,182
Entrepreneur,Ayushmann Khurrana,Female,MTech Mining,Navi Mumbai,23,Running,Malayalam,Content Writing,Minimalist,NIT Trichy,183
Software Developer,Priyanka Chopra,Male,MTech Electronics and Communication,Surathkal,22,PC Gaming,Odia,UI/UX Design,Minimalist,NIT Trichy,184
IPS,Katrina Kaif,Female,MTech Chemical,Meerut,23,Swimming,Punjabi,Copywriting,Urban,IIT Madras,185
Teacher,Salman Khan,Male,MTech Electronics and Communication,Meerut,22,Hangout,Malayalam,Data Science,Minimalist,IIT Gandhinagar,186
IPS,Katrina Kaif,Male,MTech Information Technology,Lucknow,23,Photography,Telugu,Digital Marketing,Minimalist,IIT Roorkee,187
Data Scientist,Anushka Sharma,Male,BTech Metallurgical and Materials,Kanpur,20,Chess,Malayalam,Data Visualization,Urban,IIT Roorkee,188
Web Developer,Ranbir Kapoor,Female,MTech Civil,Pune,24,Painting,Assamese,Web Development,Urban,IIT Hyderabad,189
Teacher,Sachin Tendulkar,Male,BTech Electronics and Communication,Allahabad,18,Manga,Malayalam,Data Visualization,Urban,NIT Jaipur,190
Data Engineer,Alia Bhatt,Male,MTech Mechanical,Jaipur,22,Volleyball,Gujarati,Content Writing,Urban,IIT Hyderabad,191
Entrepreneur,Virat Kohli,Male,MTech Mechanical,Varanasi,24,Volleyball,Tamil,Sales and Marketing,Minimalist,IIT Kharagpur,192
Entrepreneur,Rajkummar Rao,Female,BTech Electronics and Communication,Mangaluru,21,Hangout,Tamil,Data Analysis,Minimalist,IIT Delhi,193
IPS,Sachin Tendulkar,Male,MTech Computer Science ,Jodhpur,23,Cricket,Hindi,Animation,Minimalist,IIT Kanpur,194
Software Developer,Ranbir Kapoor,Female,MTech Computer Science ,Bareilly,23,Reading,Gujarati,UI/UX Design,Urban,NIT Kurukshetra,195
IPS,Hrithik Roshan,Female,MTech Computational and Data Sciences,Nashik,24,Photography,Maithili,Project Management,Urban,IIT Bombay,196
Web Developer,Shraddha Kapoor,Male,BTech Computer Science ,Dhanbad,19,PC Gaming,Punjabi,Blockchain,Minimalist,IIT Hyderabad,197
IAS,Anushka Sharma,Male,BTech Metallurgical and Materials,Mumbai,21,Reading,Marathi,Social Media Management,Minimalist,NIT Allahabad,198
Data Analyst,Katrina Kaif,Female,BTech Mechanical,Rajkot,20,Hiking,Gujarati,Animation,Minimalist,IIT Madras,199
Software Developer,Aamir Khan,Female,MTech Metallurgical and Materials,Surat,23,Chess,Odia,Management,Minimalist,NIT Allahabad,200
Data Scientist,Salman Khan,Male,BTech Electrical and Electronics,Srinagar,19,Attending Cultural Events,Tamil,Marketing Strategy,Minimalist,IIT Gandhinagar,201
